,max_current,min_current,flatness_pct,worst_pct,avg_err_pct,acc_nom_pct,name,type,time,OK
0,-20.6172,-19.5837,1.401119,3.112453,0.9551303,2.727473,LayGtKssThVl,Lay,Thu Jun 18 15:12:36 2026,True
1,-20.7058,-19.6383,1.456696,3.557097,1.291388,3.147115,LayGtKffThVl,Lay,Thu Jun 18 15:12:44 2026,True
2,-20.714199999999998,-19.649299999999997,1.453595,3.599241,1.336361,3.189278,LayGtKsfThVl,Lay,Thu Jun 18 15:12:51 2026,True
3,-20.605500000000003,-19.575000000000003,1.396254,3.053414,0.9052298,2.670523,LayGtKfsThVl,Lay,Thu Jun 18 15:12:58 2026,True
4,-20.8029,-19.5308,1.782942,4.051495,1.170386,3.507639,LayGtKssTlVl,Lay,Thu Jun 18 15:13:06 2026,True
5,-20.9063,-19.5713,1.875904,4.570917,1.525061,3.992306,LayGtKffTlVl,Lay,Thu Jun 18 15:13:13 2026,True
6,-20.9169,-19.582600000000003,1.87546,4.624023,1.577101,4.044791,LayGtKsfTlVl,Lay,Thu Jun 18 15:13:20 2026,True
7,-20.7891,-19.5223,1.775264,3.982638,1.115089,3.441712,LayGtKfsTlVl,Lay,Thu Jun 18 15:13:27 2026,True
8,-20.6172,-19.5837,1.401119,3.112453,0.9551303,2.727473,LayGtKssThVh,Lay,Thu Jun 18 15:13:35 2026,True
9,-20.7058,-19.6383,1.456696,3.557097,1.291388,3.147115,LayGtKffThVh,Lay,Thu Jun 18 15:13:42 2026,True
10,-20.714199999999998,-19.649299999999997,1.453595,3.599241,1.336361,3.189278,LayGtKsfThVh,Lay,Thu Jun 18 15:13:49 2026,True
11,-20.605500000000003,-19.575000000000003,1.396254,3.053414,0.9052298,2.670523,LayGtKfsThVh,Lay,Thu Jun 18 15:13:56 2026,True
12,-20.8029,-19.5308,1.782942,4.051495,1.170386,3.507639,LayGtKssTlVh,Lay,Thu Jun 18 15:14:04 2026,True
13,-20.9063,-19.5713,1.875904,4.570917,1.525061,3.992306,LayGtKffTlVh,Lay,Thu Jun 18 15:14:11 2026,True
14,-20.9169,-19.582600000000003,1.87546,4.624023,1.577101,4.044791,LayGtKsfTlVh,Lay,Thu Jun 18 15:14:19 2026,True
15,-20.7891,-19.5223,1.775264,3.982638,1.115089,3.441712,LayGtKfsTlVh,Lay,Thu Jun 18 15:14:26 2026,True
